Äê|variable|value
556|h|1
557|h|1
558|h|1
559|h|1
560|h|0
561|h|1
562|h|1
563|h|1
564|h|1
565|h|1
566|h|1
567|h|1
568|h|0
569|h|1
570|h|1
571|h|1
572|h|1
573|h|1
574|h|1
575|h|1
576|h|1
577|h|1
578|h|1
579|h|1
580|h|1
581|h|1
582|h|1
583|h|1
584|h|1
585|h|1
586|h|1
587|h|1
588|h|1
589|h|1
590|h|1
591|h|1
592|h|1
593|h|1
594|h|0
595|h|0
596|h|1
597|h|1
598|h|1
599|h|1
600|h|1
601|h|1
602|h|0
603|h|1
604|h|1
605|h|1
606|h|1
607|h|1
608|h|0
609|h|1
610|h|1
611|h|1
612|h|1
613|h|1
614|h|0
615|h|1
616|h|1
617|h|1
618|h|0
619|h|1
620|h|1
621|h|1
622|h|1
623|h|1
624|h|0
625|h|0
626|h|0
627|h|0
628|h|1
629|h|0
630|h|1
631|h|1
632|h|1
633|h|1
634|h|1
635|h|0
636|h|1
637|h|1
638|h|1
639|h|0
640|h|1
641|h|1
642|h|1
643|h|1
644|h|0
645|h|1
646|h|0
647|h|1
648|h|1
649|h|1
650|h|1
651|h|1
652|h|1
653|h|1
654|h|1
655|h|1
656|h|1
657|h|1
658|h|1
659|h|1
660|h|1
661|h|1
662|h|1
663|h|0
664|h|1
665|h|1
666|h|1
667|h|1
668|h|1
669|h|1
670|h|1
671|h|1
672|h|1
673|h|0
674|h|1
675|h|1
676|h|0
677|h|1
678|h|1
679|h|1
680|h|1
681|h|1
682|h|1
683|h|1
684|h|1
685|h|1
686|h|1
687|h|1
688|h|0
689|h|0
690|h|1
691|h|0
692|h|0
693|h|1
694|h|1
695|h|1
696|h|0
697|h|1
698|h|1
699|h|1
700|h|1
701|h|0
702|h|0
703|h|1
704|h|1
705|h|1
706|h|1
707|h|1
708|h|0
709|h|0
710|h|1
711|h|1
712|h|1
713|h|1
714|h|1
715|h|1
716|h|1
717|h|0
718|h|0
719|h|0
720|h|1
721|h|1
722|h|0
723|h|0
724|h|0
725|h|0
726|h|1
727|h|1
728|h|0
729|h|1
730|h|0
731|h|0
732|h|0
733|h|1
734|h|1
735|h|0
736|h|1
737|h|1
738|h|1
739|h|1
740|h|1
741|h|1
742|h|1
743|h|0
744|h|1
745|h|1
746|h|1
747|h|1
748|h|1
749|h|1
750|h|1
751|h|1
752|h|1
753|h|1
754|h|0
755|h|1
756|h|1
757|h|1
758|h|1
759|h|1
760|h|1
761|h|1
762|h|1
763|h|1
764|h|1
765|h|1
766|h|1
767|h|1
768|h|0
769|h|1
770|h|1
771|h|1
772|h|1
773|h|1
774|h|0
775|h|1
776|h|1
777|h|1
778|h|1
779|h|0
780|h|0
781|h|1
782|h|1
783|h|1
784|h|1
785|h|1
786|h|1
787|h|1
788|h|1
789|h|0
790|h|1
791|h|1
792|h|0
793|h|1
794|h|1
795|h|1
796|h|1
797|h|1
798|h|1
799|h|1
800|h|1
801|h|1
802|h|1
803|h|1
804|h|1
805|h|1
806|h|1
807|h|1
808|h|0
809|h|1
810|h|1
811|h|1
812|h|1
813|h|1
814|h|1
815|h|0
816|h|0
817|h|0
818|h|0
819|h|1
820|h|1
821|h|1
822|h|0
823|h|1
824|h|1
825|h|1
826|h|0
827|h|1
828|h|1
829|h|1
830|h|1
831|h|1
832|h|1
833|h|1
834|h|0
835|h|0
836|h|0
837|h|1
838|h|0
839|h|0
840|h|1
841|h|1
842|h|1
843|h|0
844|h|1
845|h|1
846|h|1
847|h|1
848|h|1
849|h|0
850|h|1
851|h|0
852|h|1
853|h|0
854|h|0
855|h|0
856|h|0
857|h|1
858|h|1
859|h|1
860|h|1
861|h|0
862|h|0
863|h|0
864|h|1
865|h|0
866|h|1
867|h|1
868|i|'121.117528602603'
869|i|'89.3618817100663'
870|i|'115.443164881725'
871|i|'99.4496394360723'
872|i|'92.7457099982118'
873|i|'107.901837758501'
874|i|'138.893106071162'
875|i|'125.145119475328'
876|i|'81.6195261789843'
877|i|'95.0730686206496'
878|i|'88.5769977185567'
879|i|'94.8597081943671'
880|i|'88.9628008509596'
881|i|'114.114297012333'
882|i|'100.534071915245'
883|i|'120.419145591086'
884|i|'114.426876891447'
885|i|'111.592357580831'
886|i|'133.849227208159'
887|i|'97.2648010634673'
888|i|'110.09680614075'
889|i|'126.72399416984'
890|i|'97.9115903092628'
891|i|'99.9257251603133'
892|i|'97.5950080521511'
893|i|'121.748013460479'
0xC0|ÄÜ·ÄÑÄ∫|Äõ·ÄôÄ∫
894|i|'98.7480786989934'
895|i|'97.9152543291671'
896|i|'80.3585564632336'
897|i|'114.307860633927'
898|i|'109.138316302971'
899|i|'101.817179733939'
900|i|'117.965104313227'
901|i|'108.633496913048'
902|i|'96.528619145464'
903|i|'92.8713754661642'
904|i|'95.8981342875886'
905|i|'107.015457730577'
906|i|'87.1970117452858'
907|i|'89.3618817100663'
908|i|'102.530987846246'
909|i|'130.166860235388'
910|i|'83.4141025980336'
911|i|'125.75346623026'
912|i|'85.8103765615827'
913|i|'126.520072628695'
914|i|'79.203048104857'
915|i|'113.165907175696'
916|i|'110.33138786508'
917|i|'99.4092237400546'
918|i|'102.425526488872'
919|i|'124.900437749856'
920|i|'94.8597081943671'
921|i|'92.3685645501674'
922|i|'101.817179733939'
923|i|'79.8335329627323'
924|i|'96.226139267492'
925|i|'82.3554723942338'
926|i|'76.5756473159814'
927|i|'110.013482886319'
928|i|'111.592357580831'
929|i|'113.657407368227'
930|i|'101.164556773121'
931|i|'101.341094009698'
932|i|'101.698163476419'
933|i|'98.8191545781969'
934|i|'93.4981963041352'
935|i|'87.2938898998626'
936|i|'87.316028002806'
937|i|'86.2094574206895'
938|i|'89.8379674343074'
939|i|'121.870014908527'
940|i|'127.544378629405'
941|i|'109.991344783376'
942|i|'90.4463141892395'
943|i|'88.8949026973177'
944|i|'113.046890918176'
945|i|'78.0131542683097'
946|i|'95.3896508777613'
947|i|'83.6164421099846'
948|i|'86.2462806103944'
949|i|'95.3896508777613'
950|i|'111.252314499127'
951|i|'127.014435946011'
952|i|'89.951950871924'
953|i|'99.2731021994947'
954|i|'81.1655785576865'
955|i|'110.52128746677'
956|i|'136.493846917085'
957|i|'123.862011656634'
958|i|'134.602392343459'
959|i|'91.0989371500582'
960|i|'103.269371773029'
961|i|'126.287072933559'
962|i|'127.544378629405'
963|i|'92.4738903034255'
964|i|'84.7940885713045'
965|i|'100.534071915245'
966|i|'108.003012055173'
967|i|'78.8071449713118'
968|i|'121.117528602603'
969|i|'103.056011346747'
970|i|'100.437193760669'
971|i|'88.5548596156134'
972|i|'85.3055571716597'
973|i|'119.448617651507'
974|i|'90.5517755466136'
975|i|'96.3340383364003'
976|i|'127.644920803886'
977|i|'119.856558886853'
978|i|'112.018920897562'
979|i|'92.5143059994432'
980|i|'96.023799755541'
981|i|'91.4168421288192'
982|i|'103.07814944969'
983|i|'100.243630139074'
984|i|'89.8158293313641'
985|i|'115.057361749322'
986|i|'96.650620593512'
987|i|'105.577950778248'
988|i|'97.7216907075729'
989|i|'131.835771186485'
990|i|'101.817179733939'
991|i|'93.4981963041352'
992|i|'104.026539286327'
993|i|'103.708634307566'
994|i|'107.368863177393'
995|i|'92.5511291891481'
996|i|'94.4425837627742'
997|i|'93.1447908573186'
998|i|'83.4141025980336'
999|i|'71.037405135663'
1000|i|'127.66705890683'
1001|i|'115.687846607198'
1002|i|'90.9762568726337'
1003|i|'132.865336903467'
1004|i|'72.5022963925581'
1005|i|'100.710609151823'
1006|i|'132.688799666889'
1007|i|'98.5457391870425'
1008|i|'115.665708504254'
1009|i|'117.062799760565'
1010|i|'136.493846917085'
1011|i|'106.548478717828'
1012|i|'134.126306619218'
1013|i|'104.657024144202'
1014|i|'99.3785635568688'
1015|i|'100.437193760669'
1016|i|'89.5253875551931'
1017|i|'120.92294779354'
1018|i|'113.143769072753'
1019|i|'126.414746875437'
1020|i|'122.737163481443'
1021|i|'115.375266728083'
1022|i|'91.6067417305091'
1023|i|'88.6603209729875'
1024|i|'107.178963575703'
1025|i|'104.969604023316'
1026|i|'103.8630334412'
1027|i|'110.09680614075'
1028|i|'88.4543174411322'
1029|i|'117.032139577379'
1030|i|'125.656588075683'
1031|i|'122.601041940883'
1032|i|'121.049630448962'
1033|i|'93.1447908573186'
1034|i|'99.3785635568688'
1035|i|'123.892807443936'
1036|i|'113.043226898272'
1037|i|'115.771169861628'
1038|i|'114.938345491802'
1039|i|'93.6208765815597'
1040|i|'121.748013460479'
1041|i|'90.3494360346627'
1042|i|'83.4104385781293'
1043|i|'99.4864626257772'
1044|i|'113.910375471188'
1045|i|'97.5950080521511'
1046|i|'89.8158293313641'
1047|i|'119.584739192066'
1048|i|'97.3816476258686'
1049|i|'84.8774118257353'
1050|i|'102.328648334295'
1051|i|'99.2731021994947'
1052|i|'99.0750497482455'
1053|i|'96.9277000045708'
1054|i|'108.313250636032'
1055|i|'100.534071915245'
1056|i|'99.4864626257772'
1057|i|'113.987614356911'
1058|i|'92.7702011694918'
1059|i|'88.0298361151122'
1060|i|'106.111557481547'
1061|i|'103.232548583324'
1062|i|'99.295240302438'
1063|i|'106.742042339422'
1064|i|'99.1725600250135'
1065|i|'102.447664591815'
1066|i|'92.8677114462598'
1067|i|'116.826136045524'
1068|i|'85.4245734291798'
1069|i|'115.565166329773'
1070|i|'113.174564860055'
1071|i|'106.861058596942'
1072|i|'95.8302361339468'
1073|i|'77.1092540192799'
1074|i|'89.2908058308629'
1075|i|'112.412742040396'
1076|i|'110.643967744195'
1077|i|'109.537397162078'
1078|i|'107.901837758501'
1079|i|'104.969604023316'
1080|i|'107.682765778157'
1081|i|'109.466321282875'
1082|i|'133.532644951047'
1083|i|'128.80901236506'
1084|i|'101.270018130495'
1085|i|'87.316028002806'
1086|i|'118.090769781179'
1087|i|'120.255639745959'
1088|i|'90.3457720147583'
1089|i|'79.9046088419358'
1090|i|'136.577170171515'
1091|i|'102.425526488872'
1092|i|'132.688799666889'
1093|i|'96.2972151466954'
1094|i|'118.209786038699'
1095|i|'118.090769781179'
1096|i|'101.504599854825'
1097|i|'94.3346846938659'
1098|i|'84.67140829388'
1099|i|'86.7688663993614'
1100|i|'129.245933601341'
1101|i|'127.781042344446'
1102|i|'106.861058596942'
1103|i|'105.754488014826'
1104|i|'117.032139577379'
1105|i|'119.35173949693'
1106|i|'102.765569570576'
1107|i|'108.205351567124'
1108|i|'126.414746875437'
1109|i|'101.90050298837'
1110|i|'99.1562556370934'
1111|i|'91.8127452623644'
1112|i|'84.1414656104858'
1113|i|'84.3548260367683'
1114|i|'79.1197248504261'
1115|i|'91.4168421288192'
1116|i|'90.4463141892395'
1117|i|'79.0007085929061'
1118|i|'109.263981770924'
1119|i|'76.7521845525589'
1120|i|'97.5950080521511'
1121|i|'128.80901236506'
1122|i|'113.657407368227'
1123|i|'114.206686337254'
1124|i|'112.513284214877'
1125|i|'75.3368157031739'
1126|i|'81.5226480244075'
1127|i|'102.638886915154'
1128|i|'101.186694876064'
1129|i|'112.222842438706'
1130|i|'123.408064035336'
1131|i|'86.5665268874105'
1132|i|'100.116947483653'
1133|i|'102.328648334295'
1134|i|'87.9465128606813'
1135|i|'80.2580142887524'
1136|i|'80.2580142887524'
1137|i|'91.0767990471149'
1138|i|'85.5789725628141'
1139|i|'113.165907175696'
1140|i|'112.05933659358'
1141|i|'101.270018130495'
1142|i|'81.8328866052668'
1143|i|'81.0945026784831'
1144|i|'81.3290844028133'
1145|i|'120.609045192776'
1146|i|'102.447664591815'
1147|i|'90.9762568726337'
1148|i|'103.708634307566'
1149|i|'102.328648334295'
1150|i|'121.870014908527'
1151|i|'88.6603209729875'
1152|i|'90.0291897576466'
1153|i|'83.5331188555537'
1154|i|'91.9206443312728'
1155|i|'87.1933477253815'
1156|i|'80.4640178206077'
1157|i|'84.3180028470634'
1158|i|'77.7397388771553'
1159|i|'82.272149139803'
1160|i|'77.3826694104343'
1161|i|'89.715287156883'
1162|i|'79.9046088419358'
1163|i|'82.1531328822829'
1164|i|'80.2616783086568'
1165|i|'77.3826694104343'
1166|i|'82.7836177401583'
1167|i|'89.2074825764321'
1168|i|'89.088466318912'
1169|i|'88.9872920222396'
1170|i|'118.923594151005'
1171|i|'83.8510238343148'
1172|i|'84.044587455909'
1173|i|'105.052927277747'
1174|i|'107.999348035269'
1175|i|'97.3816476258686'
1176|i|'103.791957561996'
1177|i|'97.5950080521511'
1178|i|'88.6603209729875'
1179|i|'107.246861729345'
1180|i|'89.8379674343074'
1181|i|'108.906912304203'
1182|i|'100.63953327262'
1183|i|'118.840270896574'
1184|i|'95.5123311551858'
1185|i|'84.7719504683612'
1186|i|'100.747432341528'
1187|i|'87.0034481236916'
1188|i|'77.8587551346754'
1189|i|'85.3018931517554'
1190|i|'92.7702011694918'
1191|i|'74.8607299789328'
1192|i|'115.248584072661'
1193|i|'107.372527197298'
1194|i|'102.202982866342'
1195|i|'97.9115903092628'
1196|i|'96.8566241253673'
1197|i|'111.465674925409'
1198|i|'109.466321282875'
1199|i|'82.2500110368597'
1200|i|'92.7702011694918'
1201|i|'115.568830349677'
1202|i|'84.044587455909'
1203|i|'116.199315207553'
1204|i|'99.295240302438'
1205|i|'87.1933477253815'
1206|i|'76.7117688565413'
1207|i|'80.6985995449379'
1208|i|'82.4633714631422'
1209|i|'85.1798917037074'
1210|i|'93.0737149781151'
1211|i|'88.5769977185567'
1212|i|'103.056011346747'
1213|i|'86.8767654682698'
1214|i|'97.9152543291671'
1215|i|'120.92294779354'
1216|i|'91.7294220079335'
1217|i|'87.5072503261452'
1218|i|'90.4463141892395'
1219|i|'84.1636037134291'
1220|i|'96.6542846134164'
1221|i|'95.703553478525'
1222|i|'88.7682200418959'
1223|i|'92.1397163116164'
1224|i|'108.003012055173'
1225|i|'80.3893522505354'
1226|i|'99.8030448828889'
1227|i|'90.0291897576466'
1228|i|'93.9387815603207'
1229|i|'103.708634307566'
1230|i|'77.1092540192799'
1231|i|'117.55716307788'
1232|i|'79.8335329627323'
1233|i|'83.6164421099846'
1234|i|'88.731396852191'
1235|i|'82.7836177401583'
1236|i|'86.8767654682698'
1237|i|'88.731396852191'
1238|i|'92.2408906082888'
1239|i|'90.5517755466136'
1240|i|'84.1414656104858'
1241|i|'93.0737149781151'
1242|i|'85.8348677328627'
1243|i|'98.8559777679018'
1244|i|'95.5123311551858'
1245|i|'101.067678618544'
1246|i|'85.9323780096308'
1247|i|'82.7836177401583'
1248|i|'98.6647554445626'
1249|i|'82.1494688623785'
1250|i|'85.6157957525191'
1251|i|'79.4376298291872'
1252|i|'75.3368157031739'
1253|i|'80.8921631665322'
1254|i|'115.771169861628'
1255|i|'97.1591040033394'
1256|i|'80.8921631665322'
1257|i|'79.505527982829'
1258|i|'98.0121324837439'
1259|i|'108.866496608185'
1260|i|'80.6985995449379'
1261|i|'100.747432341528'
1262|i|'91.0989371500582'
1263|i|'82.9859572521092'
1264|i|'89.715287156883'
1265|i|'131.010705519546'
1266|i|'124.514634617453'
1267|i|'91.6104057504134'
1268|i|'92.9903917236843'
1269|i|'91.8838211415678'
1270|i|'88.6909811561733'
1271|i|'126.093509311965'
1272|i|'84.9853108946437'
1273|i|'82.9859572521092'
1274|i|'101.795041630996'
1275|i|'100.243630139074'
1276|i|'110.013482886319'
1277|i|'88.5769977185567'
1278|i|'106.742042339422'
1279|i|'95.2921406009932'
1280|i|'108.313250636032'
1281|i|'110.33138786508'
1282|i|'116.829800065428'
1283|i|'86.6855431449306'
1284|i|'96.8566241253673'
1285|i|'90.2482617379903'
1286|i|'89.2908058308629'
1287|i|'74.2302451210575'
1288|i|'91.8838211415678'
1289|i|'96.4607209918222'
1290|i|'97.4037857288119'
1291|i|'131.533291308512'
1292|i|'78.2445582670783'
1293|i|'127.675716591188'
1294|i|'124.514634617453'
1295|i|'80.4640178206077'
1296|i|'74.8607299789328'
1297|i|'84.8774118257353'
1298|i|'92.9903917236843'
1299|i|'94.8597081943671'
1300|i|'96.8566241253673'
1301|i|'91.2533362836924'
1302|w|4
1303|w|4
1304|w|4
1305|w|3
1306|w|4
1307|w|1
1308|w|4
1309|w|3
1310|w|1
1311|w|1
1312|w|1
1313|w|4
1314|w|4
1315|w|4
1316|w|2
1317|w|1
1318|w|3
1319|w|3
1320|w|4
1321|w|3
1322|w|4
1323|w|2
1324|w|2
1325|w|4
1326|w|4
1327|w|4
1328|w|3
1329|w|4
1330|w|2
1331|w|2
1332|w|1
1333|w|2
1334|w|3
1335|w|2
1336|w|3
1337|w|4
1338|w|4
1339|w|4
1340|w|1
1341|w|4
1342|w|2
1343|w|3
1344|w|3
1345|w|1
1346|w|4
1347|w|4
1348|w|4
1349|w|1
1350|w|1
1351|w|4
1352|w|2
1353|w|3
1354|w|4
1355|w|3
1356|w|1
1357|w|1
1358|w|2
1359|w|4
1360|w|1
1361|w|1
1362|w|4
1363|w|4
1364|w|4
1365|w|4
1366|w|2
1367|w|2
1368|w|2
1369|w|4
1370|w|4
1371|w|2
1372|w|4
1373|w|1
1374|w|4
1375|w|4
1376|w|4
1377|w|4
1378|w|4
1379|w|4
1380|w|1
1381|w|2
1382|w|2
1383|w|4
1384|w|4
1385|w|1
1386|w|2
1387|w|2
1388|w|1
1389|w|3
1390|w|4
1391|w|1
1392|w|1
1393|w|3
1394|w|2
1395|w|3
1396|w|4
1397|w|4
1398|w|4
1399|w|2
1400|w|4
1401|w|1
1402|w|4
1403|w|2
1404|w|2
1405|w|2
1406|w|4
1407|w|3
1408|w|2
1409|w|4
1410|w|4
1411|w|4
1412|w|1
1413|w|4
1414|w|4
1415|w|4
1416|w|2
1417|w|3
1418|w|4
1419|w|4
1420|w|4
1421|w|4
1422|w|4
1423|w|4
1424|w|1
1425|w|4
1426|w|4
1427|w|4
1428|w|2
1429|w|2
1430|w|2
1431|w|4
1432|w|4
1433|w|2
1434|w|1
1435|w|4
1436|w|1
1437|w|3
1438|w|1
1439|w|4
1440|w|3
1441|w|2
1442|w|3
1443|w|3
1444|w|3
1445|w|2
1446|w|2
1447|w|4
1448|w|2
1449|w|1
1450|w|4
1451|w|4
1452|w|4
1453|w|1
1454|w|4
1455|w|4
1456|w|2
1457|w|2
1458|w|3
1459|w|4
1460|w|4
1461|w|4
1462|w|1
1463|w|1
1464|w|4
1465|w|4
1466|w|3
1467|w|3
1468|w|3
1469|w|4
1470|w|2
1471|w|3
1472|w|4
1473|w|4
1474|w|1
1475|w|4
1476|w|2
1477|w|4
1478|w|4
1479|w|4
1480|w|4
1481|w|4
1482|w|2
1483|w|4
1484|w|4
1485|w|4
1486|w|4
1487|w|3
1488|w|2
1489|w|4
1490|w|4
1491|w|3
1492|w|4
1493|w|4
1494|w|4
1495|w|3
1496|w|4
1497|w|3
1498|w|2
1499|w|1
1500|w|4
1501|w|4
1502|w|1
1503|w|2
1504|w|4
1505|w|1
1506|w|3
1507|w|1
1508|w|2
1509|w|4
1510|w|1
1511|w|1
1512|w|1
1513|w|2
1514|w|2
1515|w|2
1516|w|1
1517|w|2
1518|w|4
1519|w|4
1520|w|4
1521|w|2
1522|w|4
1523|w|4
1524|w|4
1525|w|2
1526|w|4
1527|w|3
1528|w|4
1529|w|4
1530|w|2
1531|w|2
1532|w|1
1533|w|2
1534|w|4
1535|w|4
1536|w|2
1537|w|1
1538|w|4
1539|w|2
1540|w|1
1541|w|3
1542|w|4
1543|w|2
1544|w|2
1545|w|1
1546|w|4
1547|w|4
1548|w|2
1549|w|4
1550|w|2
1551|w|4
1552|w|4
1553|w|4
1554|w|4
1555|w|4
1556|w|1
1557|w|2
1558|w|4
1559|w|1
1560|w|2
1561|w|4
1562|w|1
1563|w|4
1564|w|3
1565|w|3
1566|w|2
1567|w|3
1568|w|1
1569|w|1
1570|w|1
1571|w|4
1572|w|4
1573|w|4
1574|w|2
1575|w|3
1576|w|1
1577|w|3
1578|w|4
1579|w|3
1580|w|4
1581|w|2
1582|w|4
1583|w|4
1584|w|4
1585|w|1
1586|w|1
1587|w|2
1588|w|2
1589|w|1
1590|w|4
1591|w|1
1592|w|3
1593|w|1
1594|w|4
1595|w|3
1596|w|2
1597|w|4
1598|w|2
1599|w|4
1600|w|4
1601|w|4
1602|w|4
1603|w|2
1604|w|1
1605|w|4
1606|w|4
1607|w|4
1608|w|4
1609|w|4
1610|w|4
1611|w|4
1612|w|2
1613|w|2
1614|w|2
1615|w|4
1616|w|3
1617|w|1
1618|w|2
1619|w|2
1620|w|1
1621|w|1
1622|w|4
1623|w|4
1624|w|1
1625|w|4
1626|w|4
1627|w|4
1628|w|4
1629|w|4
1630|w|4
1631|w|2
1632|w|3
1633|w|4
1634|w|4
1635|w|2
1636|w|4
1637|w|4
1638|w|4
1639|w|2
1640|w|4
1641|w|2
1642|w|1
1643|w|4
1644|w|4
1645|w|4
1646|w|4
1647|w|3
1648|w|4
1649|w|4
1650|w|4
1651|w|4
1652|w|4
1653|w|3
1654|w|4
1655|w|2
1656|w|4
1657|w|1
1658|w|3
1659|w|3
1660|w|4
1661|w|4
1662|w|4
1663|w|4
1664|w|4
1665|w|2
1666|w|2
1667|w|2
1668|w|4
